ダウンロードした時刻：2021/06/07 13:42:06

,東京,東京,東京,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2019/1/1,晴,8,1,快晴,8,1
2019/1/2,快晴,8,1,快晴,8,1
2019/1/3,快晴,8,1,快晴,8,1
2019/1/4,快晴,8,1,晴,8,1
2019/1/5,快晴,8,1,晴後一時曇,8,1
2019/1/6,晴後曇,8,1,晴一時曇,8,1
2019/1/7,快晴,8,1,晴一時薄曇,8,1
2019/1/8,晴一時薄曇,8,1,薄曇後晴,8,1
2019/1/9,快晴,8,1,快晴,8,1
2019/1/10,曇時々晴,8,1,快晴,8,1
2019/1/11,晴,8,1,晴後曇,8,1
2019/1/12,曇一時雪,8,1,雨,8,1
2019/1/13,晴一時曇,8,1,晴,8,1
2019/1/14,快晴,8,1,快晴,8,1
2019/1/15,曇時々晴後一時雨,8,1,晴時々曇,8,1
2019/1/16,晴後曇,8,1,曇時々晴,8,1
2019/1/17,晴,8,1,快晴,8,1
2019/1/18,快晴,8,1,快晴,8,1
2019/1/19,晴,8,1,晴後一時曇,8,1
2019/1/20,晴一時曇,8,1,快晴,8,1
2019/1/21,快晴,8,1,快晴,8,1
2019/1/22,晴,8,1,晴後曇,8,1
2019/1/23,晴,8,1,快晴,8,1
2019/1/24,快晴,8,1,晴,8,1
2019/1/25,晴後曇,8,1,曇後時々晴,8,1
2019/1/26,晴後一時曇,8,1,快晴,8,1
2019/1/27,快晴,8,1,晴後一時曇,8,1
2019/1/28,曇後晴,8,1,快晴,8,1
2019/1/29,快晴,8,1,快晴,8,1
2019/1/30,晴一時薄曇,8,1,晴時々薄曇,8,1
2019/1/31,曇後一時雨,8,1,雨一時みぞれ後晴、雷を伴う,8,1
2019/2/1,快晴,8,1,快晴,8,1
2019/2/2,快晴,8,1,晴一時薄曇,8,1
2019/2/3,晴,8,1,晴後時々曇,8,1
2019/2/4,晴,8,1,晴後曇,8,1
2019/2/5,曇,8,1,曇時々晴,8,1
2019/2/6,雨後一時晴,8,1,快晴,8,1
2019/2/7,薄曇一時晴,8,1,薄曇後晴,8,1
2019/2/8,晴後曇,8,1,曇一時雪,8,1
2019/2/9,雪後一時曇,8,1,みぞれ一時雪後薄曇,8,1
2019/2/10,晴後薄曇,8,1,曇後一時雪,8,1
2019/2/11,雪後曇,8,1,曇後晴,8,1
2019/2/12,晴後曇,8,1,曇一時晴,8,1
2019/2/13,曇後一時晴,8,1,曇後一時晴,8,1
2019/2/14,薄曇時々晴,8,1,晴時々曇,8,1
2019/2/15,曇一時雪後一時晴,8,1,曇,8,1
2019/2/16,曇時々晴,8,1,晴時々曇,8,1
2019/2/17,晴一時曇,8,1,快晴,8,1
2019/2/18,晴,8,1,曇一時晴,8,1
2019/2/19,曇時々雨,8,1,雨後曇,8,1
2019/2/20,晴一時曇,8,1,雨時々曇後晴,8,1
2019/2/21,晴時々曇,8,1,晴時々曇,8,1
2019/2/22,薄曇一時晴,8,1,曇,8,1
2019/2/23,晴一時曇,8,1,晴後一時薄曇,8,1
2019/2/24,薄曇時々晴,8,1,曇時々晴,8,1
2019/2/25,曇後一時晴,8,1,曇,8,1
2019/2/26,曇一時雨後晴,8,1,晴時々曇,8,1
2019/2/27,曇一時晴,8,1,雨後曇,8,1
2019/2/28,雨,8,1,雨一時曇,8,1
2019/3/1,曇時々雨後晴,8,1,晴時々曇,8,1
2019/3/2,晴,8,1,曇一時晴,8,1
2019/3/3,雨一時曇,8,1,雨,8,1
2019/3/4,雨,8,1,雨後一時曇,8,1
2019/3/5,晴,8,1,曇時々雨,8,1
2019/3/6,曇,8,1,雨一時曇,8,1
2019/3/7,雨,8,1,晴一時雨,8,1
